lon,lat,name,description
8.458921033065735,44.668958664387105,DISTRIBUTORE HELP ACQUI TERME,VIA CASSAROGNA 30 15011 - ACQUI TERME - AL | Prezzo: 0.698 € | Data: 29/09/2025 08:26:14
8.481220282803406,44.669015740619884,OASI,VIA CIRCONVALLAZIONE 15 15011 - ACQUI TERME - AL | Prezzo: 0.698 € | Data: 22/09/2025 08:53:27
8.4637652,44.6756687,RETITALIA,via fatebenefratelli 15 15011 - ACQUI TERME - AL | Prezzo: 0.698 € | Data: 25/09/2025 21:52:32
8.5506581,44.9213885,ALESSANDRIA,SR 10 km 88+273  sn 15122 - ALESSANDRIA - AL | Prezzo: 0.617 € | Data: 24/09/2025 19:19:21
8.63087385892868,44.90220486835905,ALESSANDRIA - CC PANORAMA,C/O CC PANORAMA SN 15121 - ALESSANDRIA - AL | Prezzo: 0.649 € | Data: 27/09/2025 01:08:15
8.593572982027695,44.921130477034694,Alessandria - Giordano Bruno,Via Giordano Bruno 77  15121 - ALESSANDRIA - AL | Prezzo: 0.649 € | Data: 29/09/2025 08:22:35
8.615406397730112,44.88638436498143,ALESSANDRIA - S.S.30,S.S. 30 KM. 3.295 SNC 15121 - ALESSANDRIA - AL | Prezzo: 0.649 € | Data: 28/09/2025 09:03:39
8.654644000123,44.900659000123,CIMOIL02,via stortigliona 2 15122 - ALESSANDRIA - AL | Prezzo: 0.677 € | Data: 29/09/2025 00:24:46
8.654644000123,44.900659000123,CIMOIL02,via stortigliona 2 15122 - ALESSANDRIA - AL | Prezzo: 0.677 € | Data: 29/09/2025 00:24:46
8.60159620642662,44.89145873426048,ERRETRE SRL VIA CASALCERMELLI,VIA CASALCERMELLI 100 15121 - ALESSANDRIA - AL | Prezzo: 0.669 € | Data: 24/09/2025 18:00:23
8.713609278202057,44.88478789339822,EUROPAM - CASCINA GROSSA,SS 10 KM.103\t  15040 - ALESSANDRIA - AL | Prezzo: 0.637 € | Data: 25/09/2025 12:00:35
8.585374511148899,44.92763801980061,GNL CARBURANTI SRL,CASALE SNC 15122 - ALESSANDRIA - AL | Prezzo: 0.689 € | Data: 23/09/2025 17:22:45
8.585374511148899,44.92763801980061,GNL CARBURANTI SRL,CASALE SNC 15122 - ALESSANDRIA - AL | Prezzo: 0.689 € | Data: 23/09/2025 17:22:45
8.625420928001404,44.93263457006159,IP,viale milite ignoto 49 15121 - ALESSANDRIA - AL | Prezzo: 0.699 € | Data: 24/09/2025 17:31:19
8.68751133854903,44.88968549657263,KEROPETROL SPA SPINETTA MARENGO,"VIA S.S.10 KM.100+526 S.N. 15121, ALESSANDRIA (AL) SNC 15122 - ALESSANDRIA - AL | Prezzo: 0.689 € | Data: 29/09/2025 06:43:36"
8.5972819,44.9190422,LCO ALESSANDRIA,via Giordano Bruno  65  - ALESSANDRIA - AL | Prezzo: 0.685 € | Data: 25/09/2025 18:56:34
8.6310894,44.9098796,RESTIANI - IL CHIOZZETTO,S.S. 10 KM. 96 + 313 S.N. 15122 - ALESSANDRIA - AL | Prezzo: 0.649 € | Data: 26/09/2025 18:25:13
8.70067298412323,44.91704718250436,STOIL SIMPLE,STR. PROV.LE 82 SPINETTA SALE  15122 - ALESSANDRIA - AL | Prezzo: 0.625 € | Data: 28/09/2025 23:40:47
8.68896530555725,44.90680580946462,TAMOIL 2232-CASTELCERIOLO,"SP 248 KM 1,8  CASTELCERIOLO  15122 - ALESSANDRIA - AL | Prezzo: 0.629 € | Data: 28/09/2025 15:08:05"
8.624820113182068,44.93864445373909,Valfuel snc,Strada Prov.le per Valle San Bartolomeo 2 15122 - ALESSANDRIA - AL | Prezzo: 0.729 € | Data: 25/09/2025 17:49:55
8.884828090667725,44.698799494700225,Api-IP,VIA GRAMSCI SNC 15061 - ARQUATA SCRIVIA - AL | Prezzo: 0.729 € | Data: 24/09/2025 16:57:21
8.652409315109253,44.627936919488285,BELFORTE MONFERRATO-C/O CC BENNET.,C/O CC BENNET BELFORTE 1 15070 - BELFORTE MONFERRATO - AL | Prezzo: 0.859 € | Data: 27/09/2025 01:08:16
8.666142225265503,44.59236962570605,STURA EST,"Autostrada A26 (GE) VOLTRI-GRAVELLONA T., Km. 25+500, dir. Nord - 15070 - BELFORTE MONFERRATO - AL | Prezzo: 0.899 € | Data: 28/09/2025 06:30:04"
8.664512783288956,44.591592228742755,STURA OVEST,"Autostrada A26 (GE) VOLTRI-GRAVELLONA T., Km. 176, dir. GENOVA - 15070 - BELFORTE MONFERRATO - AL | Prezzo: 0.977 € | Data: 28/09/2025 07:29:46"
8.737301230430603,44.83471785149353,Easy Service Bosco Marengo,"35 dei Giovi, Km. 16+315, Alessandria - 15062 - BOSCO MARENGO - AL | Prezzo: 0.635 € | Data: 29/09/2025 00:23:28"
8.47555,45.129555,11421 CASALE MONFERRATO,S.P. PER VALENZA KM.1+360   snc  - CASALE MONFERRATO - AL | Prezzo: 0.642 € | Data: 29/09/2025 06:32:20
8.448733224471287,45.1537195625967,Alessandria - Casale Monferrato,SPAZZACAMINO 20 15033 - CASALE MONFERRATO - AL | Prezzo: 0.679 € | Data: 29/09/2025 08:10:13
8.45292322,45.1027569,DISCAR CASALE MONFERRATO,S.da Alessandria 26/B 15033 - CASALE MONFERRATO - AL | Prezzo: 0.635 € | Data: 29/09/2025 07:18:15
8.4413758,45.1098914,ENI 01422 di Berta Gabriel,STATALE 31 KM. 27+280 SNC 15033 - CASALE MONFERRATO - AL | Prezzo: 0.642 € | Data: 29/09/2025 06:22:10
8.443860,45.113960,GETOIL CASALE,strada Asti  19/a 10050 - CASALE MONFERRATO - AL | Prezzo: 0.631 € | Data: 25/09/2025 15:15:35
8.594934940338135,44.81958678913551,BORMIDA EST,"Autostrada A26 (GE) VOLTRI-GRAVELLONA T., Km. 52,9, dir. Est - 15073 - CASTELLAZZO BORMIDA - AL | Prezzo: 0.878 € | Data: 29/09/2025 05:30:16"
8.593931332506145,44.81718786333268,BORMIDA OVEST,"Autostrada A26 (GE) VOLTRI-GRAVELLONA T.,  Km. 53, dir. GENOVA 15073 - CASTELLAZZO BORMIDA - AL | Prezzo: 0.999 € | Data: 28/09/2025 08:04:28"
8.613011920009285,44.85094129357722,TAMOIL,Strada Aulara 2424 15073 - CASTELLAZZO BORMIDA - AL | Prezzo: 0.629 € | Data: 28/09/2025 15:06:03
8.853375810272741,44.93427039898205,CASTELNUOVO SCRIVIA EST,"A7 MILANO-SERRAVALLE, Km. 60+710, NORD - 15053 - CASTELNUOVO SCRIVIA - AL | Prezzo: 0.769 € | Data: 26/09/2025 11:58:57"
8.878991570916696,44.96857056587288,EUROPAM - CASTELNUOVO SCRIVIA,VIA ALCIDE DE GASPERI 2 15053 - CASTELNUOVO SCRIVIA - AL | Prezzo: 0.677 € | Data: 25/09/2025 16:00:33
8.4036588,45.1637049,kerotris  Morano sul Pò ,CASALE 40 15025 - MORANO SUL PO - AL | Prezzo: 0.678 € | Data: 26/09/2025 20:40:37
8.4036588,45.1637049,kerotris  Morano sul Pò ,CASALE 40 15025 - MORANO SUL PO - AL | Prezzo: 0.678 € | Data: 26/09/2025 20:40:37
8.7458999,44.7694688,6880,PROVINCIALE N.155 KM. 2 S.N. 15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 08:02:21
8.838378000123,44.760605000123,BETTOLE DI NOVI LIGURE EST,"A7 MILANO-SERRAVALLE, Km. 10, GE-MI - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:15:54"
8.837005000123,44.760201000123,BETTOLE DI NOVI LIGURE OVEST,"A7 MILANO-SERRAVALLE, Km. 84, MI-GE - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:15:58"
8.81205502096418,44.74758967623737,KEROPETROL SPA NOVI LIGURE,"VIA S.S.35 BIS KM.3+801 S.N. 15067, NOVI LIGURE (AL) SN 15067 - NOVI LIGURE - AL | Prezzo: 0.675 € | Data: 29/09/2025 06:43:26"
8.748666387557932,44.8006432348141,MARENGO NORD,"A26 (GE) VOLTRI-GRAVELLONA Raccordo con A7, Km. 9+700, DIR. OVEST - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:16:03"
8.751058813491795,44.80079540265655,MARENGO SUD,"A26 (GE) VOLTRI-GRAVELLONA Raccordo con A7, Km. 10, sud - 15067 - NOVI LIGURE - AL | Prezzo: 0.799 € | Data: 29/09/2025 00:00:08"
8.76436,44.77350,PV04 NOVI LIGURE,"VIA STRADA BOSCOMARENGO 20 15067, NOVI LIGURE (AL)  15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:17:28"
8.807481212691597,44.75833276498919,sabilje berisa,"DISTRIBUTORE RETITALIA VIA CIRCONVALLAZIONE,20 20 15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:37:45"
8.510706421220675,45.07534193410377,MONFERRATO EST,"Autostrada A26 (GE) VOLTRI-GRAVELLONA T., Km. 83,5, dir. EST - 15040 - OCCIMIANO - AL | Prezzo: 0.879 € | Data: 25/09/2025 18:30:10"
8.65505052087387,44.65271824341084,ESSO,VIA NOVI 53 15076 - OVADA - AL | Prezzo: 0.859 € | Data: 27/09/2025 11:25:34
8.625634483714277,44.62319266844878,Q8,VIA MOLARE  60/D 15076 - OVADA - AL | Prezzo: 0.859 € | Data: 28/09/2025 23:43:03
8.610165717179257,45.05784242123047,com.pet ,strada provinciale Casale Valenza km 13+456  15040 - POMARO MONFERRATO - AL | Prezzo: 0.669 € | Data: 24/09/2025 07:48:20
8.7889221,44.7840247,EUROPAM - POZZOLO FORMIGARO,Str. Novi 5  15068 - POZZOLO FORMIGARO - AL | Prezzo: 0.677 € | Data: 28/09/2025 07:00:07
8.356290757656097,44.903631252610076,CROCETTA SUD,"Autostrada A21 TORINO-PIACENZA,  Km. 48, dir. est 15028 - QUATTORDIO - AL | Prezzo: 0.839 € | Data: 28/09/2025 11:54:23"
8.546450095904419,44.704945883389094,ESSO,PROV. 195 KM. 18+228 . 15010 - RIVALTA BORMIDA - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:02:22
8.54981,45.01421,CENTRO CALOR SAN SALVATORE MONFERRATO,31 KM.41+148 S.N. 15046 - SAN SALVATORE MONFERRATO - AL | Prezzo: 0.669 € | Data: 26/09/2025 16:27:45
8.8255337,44.7443032,Esso,ALESSANDRIA 12 15069 - SERRAVALLE SCRIVIA - AL | Prezzo: 0.689 € | Data: 25/09/2025 10:58:48
8.83349597454071,44.73516279878055,SERRAVALLE SCRIVIA - SS35 BIS.,SS35 BIS SN 15069 - SERRAVALLE SCRIVIA - AL | Prezzo: 0.679 € | Data: 27/09/2025 01:08:16
8.532291948795319,44.713534505811495,ERRETRE STREVI,EX SS 30  15019 - STREVI - AL | Prezzo: 0.679 € | Data: 24/09/2025 11:00:24
8.86651,44.90791,PV02 TORTONA,"VIA S.S.10 KM.116+096 S.N. 15057, TORTONA (AL) 75 15057 - TORTONA - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:19:39"
8.88669490814209,44.90542197191409,PV07 TORTONA,"VIA VIA S.PILOTTI 2/F 15057, TORTONA (AL) 2 15057 - TORTONA - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:16:46"
8.84736567735672,44.894972852599714,TORTONA,STRADA STATALE PER ALESSANDRIA KM.113+614  15057 - TORTONA - AL | Prezzo: 0.679 € | Data: 27/09/2025 08:36:06
8.883669263274442,44.93516582629164,TORTONA NORD,"Autostrada A21 TORINO-PIACENZA,  Km. 91, dir. torino 15057 - TORTONA - AL | Prezzo: 0.799 € | Data: 27/09/2025 14:45:40"
8.8857908,44.9352259,TORTONA SUD,"Autostrada A21 TORINO-PIACENZA, dir. PIACENZA  - TORTONA - AL | Prezzo: 0.869 € | Data: 26/09/2025 17:20:16"
8.634726852178574,45.00453472348812,ENI,S.S.494 KM 78 78 15048 - VALENZA - AL | Prezzo: 0.669 € | Data: 29/09/2025 07:52:09
8.6390563,44.9966947,ESSO,STATALE 494 KM.79+370 SNC 15048 - VALENZA - AL | Prezzo: 0.669 € | Data: 25/09/2025 07:16:56
8.465003093254154,45.166926910748316,VILLANOVA MONFERRATO.,C/O BENNET MONFERRATO SHOPPING C SN 15030 - VILLANOVA MONFERRATO - AL | Prezzo: 0.719 € | Data: 27/09/2025 01:08:16
8.2541933,44.8038038,BEYFIN Maschio Simone,"PROV. ASTI MARE KM18,100  14041 - AGLIANO TERME - AT | Prezzo: 0.649 € | Data: 24/09/2025 06:52:03"
8.251385544180266,44.90653336880364,11418 MONTANELLA & C. SNC,CORSO ALESSANDRIA 494 14100 - ASTI - AT | Prezzo: 0.654 € | Data: 29/09/2025 08:02:21
8.22214695558197,44.91579679939346,2156,CASALE 322 14100 - ASTI - AT | Prezzo: 0.629 € | Data: 28/09/2025 12:50:11
8.223065844808616,44.95273374153334,B+,"VIA PORTACOMARO STAZIONE S.S.457 KM.33+217 217 14100, ASTI (AT) S.S.457 14100 - ASTI - AT | Prezzo: 0.629 € | Data: 29/09/2025 06:53:32"
8.205069154500961,44.86521481926581,DIS CAR,"STRADA STAT. 231 DIR KM6 + 112 112 14100, ASTI (AT) KM 6+112 14100 - ASTI - AT | Prezzo: 0.659 € | Data: 26/09/2025 15:39:50"
8.222057695770268,44.90563245651508,Enercoop Asti,Via MONTI 2a 14100 - ASTI - AT | Prezzo: 0.635 € | Data: 28/09/2025 18:46:22
8.166682720184326,44.90175650374798,Inzirillo Salvatore Roberto,CORSO TORINO 442 14100 - ASTI - AT | Prezzo: 0.629 € | Data: 23/09/2025 17:04:02
8.093326279762323,44.90383020042228,TotalErg,"10 Padana Inferiore, Km. 48.405, ovest - 14011 - BALDICHIERI D'ASTI - AT | Prezzo: 0.629 € | Data: 24/09/2025 09:54:30"
8.342961519956589,44.7415057572251,TAMOIL,"Statale 592 di Canelli, Km. 3+860, dir. OVEST  14042 - CALAMANDRANA - AT | Prezzo: 0.719 € | Data: 26/09/2025 08:39:00"
8.228183842051088,44.97554918884501,CASTELL'ALFERO,S.P.457 PER MONCALVO  14033 - CASTELL'ALFERO - AT | Prezzo: 0.65 € | Data: 27/09/2025 08:23:31
8.321720428835988,44.877909092260516,7383,S.S.N. 10 KM 69+155 SN 14034 - CASTELLO DI ANNONE - AT | Prezzo: 0.659 € | Data: 29/09/2025 07:30:15
7.966313588954904,45.0279705827288,M SELF H24,STRADA PROVINCIALE 16 KM 15+018  14022 - CASTELNUOVO DON BOSCO - AT | Prezzo: 0.655 € | Data: 25/09/2025 11:51:22
8.031861,45.039576,6882,V. Torino  30172 - CERRETO D'ASTI - AT | Prezzo: 0.639 € | Data: 29/09/2025 07:52:17
8.056557472391887,44.980214326318155,paolo romanato,via casale 1 c/o  distributore B+ 1 14010 - CORTAZZONE - AT | Prezzo: 0.624 € | Data: 26/09/2025 08:50:47
8.269067332148552,44.76845804344314,SCAGLIONE MARCO,REGIONE MOLINO 8 14050 - MOASCA - AT | Prezzo: 0.639 € | Data: 25/09/2025 19:40:55
8.352873623371124,44.76596569782801,IP,STRADA CANELLI 14/A 14049 - NIZZA MONFERRATO - AT | Prezzo: 0.736 € | Data: 25/09/2025 08:24:45
8.370249402076860,44.77130544455330,SHELL NIZZA MONFERRATO STRADA ALESSANDRIA N.40 (SP 28 PER ALESSANDRIA KM 25+896),S.P.NIZZA-MONFERRATO KM 25+896 SN 14049 - NIZZA MONFERRATO - AT | Prezzo: 0.699 € | Data: 29/09/2025 07:13:30
8.070452436745882,44.84444799824974,7274,45 VILLANOVA/SAN DAMIANO S.N. 14015 - SAN DAMIANO D'ASTI - AT | Prezzo: 0.629 € | Data: 28/09/2025 12:44:23
8.211780874205033,44.82663179842431,DALLE VIGLIANO D'ASTI,S.P. 456 VIA ASTI MARE  14040 - VIGLIANO D'ASTI - AT | Prezzo: 0.649 € | Data: 26/09/2025 16:33:05
8.040437228277028,44.91175954810604,eni cafe,PIEVE 47 14018 - VILLAFRANCA D'ASTI - AT | Prezzo: 0.655 € | Data: 29/09/2025 07:52:29
7.948329683447253,44.936763559936885,DISCAR VILLANOVA D'ASTI ,"STRADA EX S.S. N. 10 PADANA INFERIORE KM. 35+100 S.N. 14019, VILLANOVA D'ASTI (AT) +100 14019 - VILLANOVA D'ASTI - AT | Prezzo: 0.655 € | Data: 29/09/2025 07:10:18"
7.921306863427162,44.941073899594166,VILLANOVA D'ASTI,S.P. PER POIRINO 44 14019 - VILLANOVA D'ASTI - AT | Prezzo: 0.655 € | Data: 26/09/2025 16:19:12
7.951682622473157,44.950642822945696,VILLANOVA NORD,"Autostrada A21 TORINO-PIACENZA, dir. TORINO 14019 - VILLANOVA D'ASTI - AT | Prezzo: 0.879 € | Data: 29/09/2025 06:16:37"
7.95183,44.9496,VILLANOVA SUD,"Autostrada A21 TORINO-PIACENZA,  Km. 13.052, dir. Est 14019 - VILLANOVA D'ASTI - AT | Prezzo: 0.799 € | Data: 29/09/2025 00:21:56"
8.07215285156425,45.55004232610444,Distributore Esso ILARY S.N.C.,TROSSI SNC 13900 - BIELLA - BI | Prezzo: 0.675 € | Data: 26/09/2025 08:52:46
8.075541257858276,45.5493291633965,Enercoop Biella,VIALE CLAUDIO VILLA 2 13900 - BIELLA - BI | Prezzo: 0.675 € | Data: 28/09/2025 19:46:20
8.259285986423492,45.57933059708864,IGAS,TORINO 12 13862 - BRUSNENGO - BI | Prezzo: 0.689 € | Data: 28/09/2025 19:56:10
8.101259922230573,45.464571241253374,Biella - Cerrione,S.P. 143 KM 20+580 SNC 13882 - CERRIONE - BI | Prezzo: 0.669 € | Data: 29/09/2025 08:04:16
8.240990793640094,45.55915929898186,Vargas s.r.l. - Masserano,VIA 4 NOVEMBRE 24 13866 - MASSERANO - BI | Prezzo: 0.689 € | Data: 29/09/2025 07:50:16
8.0414,45.531541,6883,S.P. 400/A KM 2+950 S.N. 13875 - PONDERANO - BI | Prezzo: 0.659 € | Data: 29/09/2025 08:26:16
8.085867411045115,45.49776539881739,2483,S.S. 143 KM 24+447 SN 13876 - SANDIGLIANO - BI | Prezzo: 0.679 € | Data: 29/09/2025 07:32:05
8.131582752149598,45.56635738884196,VALDENGO - 8639,Via Roma  51 13060 - VALDENGO - BI | Prezzo: 0.699 € | Data: 29/09/2025 07:30:11
8.037247516532883,44.721849492698475,CONAD SELF 24h,"CORSO ASTI SNC 12051, ALBA (CN) 13/1 12051 - ALBA - CN | Prezzo: 0.648 € | Data: 23/09/2025 07:47:41"
8.01036234462738,44.68729521549808,Erretre Alba,Corso Europa 87  12051 - ALBA - CN | Prezzo: 0.699 € | Data: 25/09/2025 18:00:37
8.021420299999999,44.6957015,Staz. di servizio IP - Gierre snc,Via Ognissanti 13 12051 - ALBA - CN | Prezzo: 0.726 € | Data: 24/09/2025 06:24:13
8.048579927587877,44.31354551612112,DISCAR BAGNASCO,"VIA SS.28 KM.64+000  - Via Nazionale SN 12071, BAGNASCO (CN) SN 12071 - BAGNASCO - CN | Prezzo: 0.669 € | Data: 29/09/2025 07:26:19"
7.338554,44.729755,306 Barge,SAN MARTINO S.P. STR PROV 29 KM   - BARGE - CN | Prezzo: 0.684 € | Data: 29/09/2025 00:13:15
7.6775872711639295,44.375949254376316,P.V. BEINETTE,"VIA VIA MONDOVI' 88 12081, BEINETTE (CN) 88 12081 - BEINETTE - CN | Prezzo: 0.628 € | Data: 26/09/2025 12:13:43"
7.4819885194301605,44.397320731420436,PV. SAN ROCCO DI BERNEZZO,"VIA FRAZIONE SAN ROCCO VIA VALLE GRANA 16 12010, BERNEZZO (CN) 16 12010 - BERNEZZO - CN | Prezzo: 0.628 € | Data: 26/09/2025 11:58:14"
7.505641579627991,44.34793246511676,CONAD,Via Cuneo 84/86 12011 - BORGO SAN DALMAZZO - CN | Prezzo: 0.628 € | Data: 29/09/2025 08:10:50
7.54624543484033,44.34710160910958,IP,Via Professor Mario Martini 12 12012 - BOVES - CN | Prezzo: 0.649 € | Data: 29/09/2025 07:47:16
7.829067707061768,44.684753364598976,Erretre BRA,"Strada Statale 702, Km. 3+589,50 dir. BRA  12042 - BRA - CN | Prezzo: 0.679 € | Data: 26/09/2025 12:00:47"
7.7636108322453765,44.704758581313314,RIO COLORE EST,"A6 TORINO-SAVONA, Km. 29.776, nord - 12042 - BRA - CN | Prezzo: 0.799 € | Data: 26/09/2025 10:50:43"
7.834268510341644,44.712858991781495,Socogas,VIA DON ORIONE 118 12942 - BRA - CN | Prezzo: 0.649 € | Data: 26/09/2025 19:20:32
7.486561237283529,44.53841883568332,gazoline cafè,"589 dei Laghi di Avigliana, Km. 147, busca - 12022 - BUSCA - CN | Prezzo: 0.649 € | Data: 25/09/2025 08:36:54"
7.44167223572731,44.42478395155908,area di servizio mercurio,via centallo  19 12023 - CARAGLIO - CN | Prezzo: 0.669 € | Data: 26/09/2025 20:24:08
